iter	Passed	Remaining
908	1281	128
909	1283	126
910	1286	125
911	1287	124
912	1288	122
913	1289	121
914	1290	119
915	1291	118
916	1291	116
917	1292	115
918	1293	114
919	1294	112
920	1295	111
921	1296	109
922	1298	108
923	1299	106
924	1300	105
925	1301	103
926	1301	102
927	1302	101
928	1303	99
929	1304	98
930	1304	96
931	1305	95
932	1306	93
933	1307	92
934	1307	90
935	1308	89
936	1309	88
937	1310	86
938	1311	85
939	1313	83
940	1314	82
941	1315	80
942	1316	79
943	1317	78
944	1317	76
945	1318	75
946	1319	73
947	1320	72
948	1320	70
949	1321	69
950	1322	68
951	1323	66
952	1324	65
953	1325	63
954	1328	62
955	1329	61
956	1330	59
957	1331	58
958	1332	56
959	1332	55
960	1333	54
961	1334	52
962	1335	51
963	1335	49
964	1336	48
965	1337	47
966	1338	45
967	1341	44
968	1343	42
969	1344	41
970	1345	40
971	1345	38
972	1346	37
973	1347	35
974	1347	34
975	1348	33
976	1349	31
977	1349	30
978	1350	28
979	1351	27
980	1352	26
981	1353	24
982	1355	23
983	1357	22
984	1358	20
985	1359	19
986	1360	17
987	1361	16
988	1361	15
989	1362	13
990	1363	12
991	1364	11
992	1364	9
993	1365	8
994	1366	6
995	1367	5
996	1367	4
997	1368	2
998	1370	1
999	1371	0
